Name,Date,Rate,Votes,Genre,Duration,Certificate,Nudity,Violence,Profanity,Alcohol,Frightening
Inheritance,2020,5.5,11263,"Drama, Mystery, Thriller",111,R,None,Mild,Moderate,Mild,Moderate
Deadly Illusions,2021,3.7,11038,"Drama, Thriller",114,R,Moderate,Moderate,Mild,Mild,Moderate
Horrible Bosses 2,2014,6.3,164781,"Comedy, Crime",108,R,Moderate,Moderate,Severe,Mild,None
The Conversation,1974,7.8,106092,"Drama, Mystery, Thriller",113,PG,Mild,Moderate,Mild,Mild,Moderate
Star Trek: The Motion Picture,1979,6.4,86322,"Adventure, Mystery, Sci-Fi",132,G,None,Mild,Mild,None,Mild
Funny Games,1997,7.6,69536,"Crime, Drama, Thriller",108,R,Mild,Severe,Mild,Mild,Severe
Jungle,2017,6.7,53145,"Action, Adventure, Biography",115,R,Mild,Mild,Moderate,Mild,Moderate
Poltergeist,2015,4.9,56692,"Horror, Thriller",93,PG-13,Mild,Mild,Mild,Mild,Moderate
Blair Witch,2016,5.0,43679,"Horror, Mystery, Thriller",89,R,None,Moderate,Severe,Mild,Severe
Gwendoline,1984,5.3,2858,"Action, Adventure, Comedy",105,R,Moderate,Moderate,Mild,Mild,Mild
Bride Wars,2009,5.5,104026,"Comedy, Romance",89,PG,Mild,None,Mild,Mild,None
How to Train Your Dragon: The Hidden World,2019,7.5,115487,"Animation, Action, Adventure",104,PG,None,Mild,None,None,Mild
All the Money in the World,2017,6.8,80525,"Biography, Crime, Drama",132,R,Mild,Moderate,Mild,Moderate,Moderate
Klaus,2019,8.2,120667,"Animation, Adventure, Comedy",96,PG,None,None,None,None,Mild
Heavy Metal,1981,6.7,33533,"Animation, Adventure, Fantasy",86,R,Severe,Severe,Moderate,Moderate,Moderate
The Wrong Missy,2020,5.7,36072,"Comedy, Romance",90,R,Moderate,Mild,Severe,Moderate,Mild
Fences,2016,7.2,103351,Drama,139,PG-13,None,Mild,Moderate,Mild,Mild
Warrior Queen,1987,3.3,779,Drama,79,R,Moderate,Moderate,None,Mild,Mild
